time,accx,accy,accz
3883, -3335,  5422,  5593
3894, -3223,  5586,  5610
3903, -3176,  5639,  5640
3914, -3178,  5579,  5735
3923, -3278,  5598,  5915
3934, -3514,  5723,  6134
3944, -3819,  5915,  6345
3953, -4094,  6075,  6473
3964, -4159,  6146,  6616
3973, -4128,  6258,  6743
3984, -4129,  6300,  6798
3994, -4072,  6249,  6859
4003, -4006,  6140,  6875
4014, -3981,  6127,  6876
4023, -4024,  6029,  6820
4034, -4052,  5762,  6742
4044, -4010,  5517,  6671
4053, -3944,  5347,  6627
4064, -3918,  5353,  6603
4073, -3941,  5488,  6605
4084, -3993,  5667,  6624
4093, -4075,  5895,  6617
4104, -4131,  6106,  6554
4113, -4088,  6321,  6478
4123, -4000,  6495,  6420
4134, -3965,  6537,  6383
4143, -3956,  6413,  6358
4154, -3929,  6069,  6332
4163, -3882,  5675,  6269
4174, -3806,  5359,  6220
4183, -3784,  5243,  6200
4193, -3822,  5319,  6214
4204, -3862,  5403,  6265
4213, -3946,  5453,  6363
4224, -4045,  5509,  6451
4233, -4098,  5493,  6484
4243, -4066,  5408,  6414
4254, -3930,  5287,  6304
4263, -3778,  5192,  6176
4273, -3668,  5160,  6045
4284, -3609,  5125,  5948
4293, -3609,  5084,  5907
4304, -3686,  5145,  5942
4313, -3803,  5276,  5991
4322, -3872,  5347,  6026
4333, -3879,  5357,  6060
4343, -3911,  5374,  6074
4352, -3926,  5396,  6019
4363, -3838,  5375,  5909
4373, -3730,  5328,  5762
4384, -3640,  5273,  5665
4393, -3610,  5233,  5702
4404, -3710,  5190,  5819
4413, -3829,  5116,  5972
4422, -3907,  5040,  6108
4433, -3926,  4981,  6205
4443, -3914,  4988,  6284
4454, -3925,  5060,  6332
4463, -3895,  5117,  6310
4473, -3784,  5108,  6243
4484, -3657,  5070,  6188
4493, -3570,  5038,  6186
4502, -3577,  5023,  6271
4513, -3655,  4986,  6407
4523, -3751,  4930,  6536
4534, -3807,  4907,  6600
4543, -3792,  4917,  6595
4552, -3727,  4941,  6547
4563, -3684,  4999,  6490
4573, -3677,  5089,  6428
4582, -3643,  5158,  6395
4593, -3643,  5234,  6388
4602, -3699,  5306,  6377
4613, -3754,  5339,  6374
4623, -3776,  5303,  6343
4634, -3795,  5206,  6271
4643, -3824,  5071,  6210
4652, -3928,  4930,  6188
4663, -4100,  4805,  6185
4672, -4300,  4736,  6181
4683, -4558,  4692,  6173
4693, -4937,  4631,  6124
4702, -5393,  4574,  6054
4713, -5903,  4496,  6009
4723, -6439,  4440,  6066
4733, -7002,  4451,  6281
4743, -7658,  4394,  6596
4752, -8315,  4351,  6940
4763, -8837,  4354,  7157
4773, -9053,  4455,  7063
4782, -8857,  4706,  6685
4793, -8435,  5023,  6094
4802, -7923,  5321,  5433
4813, -7266,  5652,  4936
4823, -6665,  6013,  4650
4832, -6120,  6382,  4625
4843, -5545,  6759,  4784
4852, -5061,  7035,  4901
4863, -4518,  7116,  5060
4873, -3989,  6986,  5363
4882, -3739,  6697,  5744
4893, -3603,  6515,  6165
4902, -3496,  6514,  6424
4913, -3289,  6546,  6405
4923, -2946,  6576,  6225
4932, -2665,  6464,  5911
4943, -2415,  6184,  5629
4952, -2196,  5987,  5567
4963, -2102,  6013,  5670
4973, -1993,  6062,  5866
4982, -1796,  6016,  6021
4993, -1483,  5809,  6043
5002, -1089,  5462,  5884
5012,  -633,  5148,  5580
5023,  -119,  4830,  5285
5032,   277,  4435,  5206
5043,   244,  4047,  5470
5052,  -267,  3747,  6061
5062, -1009,  3574,  6758
5073, -1754,  3508,  7350
5082, -2310,  3527,  7701
5093, -2585,  3672,  7763
5102, -2651,  3912,  7583
5113, -2663,  4189,  7243
5122, -2628,  4525,  6819
5132, -2498,  4923,  6411
5143, -2380,  5338,  6103
5152, -2381,  5724,  5977
5163, -2581,  6032,  6038
5172, -2936,  6201,  6235
5182, -3311,  6221,  6490
5193, -3628,  6192,  6702
5202, -3841,  6204,  6794
5213, -3914,  6212,  6755
5222, -3885,  6110,  6635
5232, -3821,  5868,  6472
5243, -3723,  5618,  6373
5252, -3688,  5403,  6329
5263, -3725,  5238,  6358
5272, -3801,  5132,  6460
5282, -3939,  5068,  6570
5293, -4089,  5077,  6631
5302, -4152,  5120,  6604
5312, -4115,  5175,  6502
5323, -4042,  5255,  6373
5332, -3975,  5310,  6264
5341, -3924,  5321,  6210
5352, -3886,  5366,  6197
5362, -3830,  5450,  6195
5373, -3782,  5522,  6219
5382, -3783,  5550,  6277
5391, -3831,  5537,  6323
5402, -3833,  5527,  6328
5412, -3775,  5527,  6272
5423, -3680,  5518,  6201
5432, -3624,  5522,  6176
5441, -3634,  5542,  6204
5452, -3653,  5596,  6280
5462, -3705,  5665,  6362
5472, -3748,  5715,  6395
5482, -3727,  5683,  6390
5493, -3686,  5598,  6361
5502, -3655,  5537,  6349
5511, -3668,  5546,  6344
5522, -3685,  5574,  6334
5532, -3682,  5623,  6344
5543, -3715,  5697,  6336
5552, -3738,  5797,  6293
5561, -3716,  5832,  6217
5572, -3696,  5870,  6153
5581, -3738,  5969,  6097
5592, -3762,  6104,  6040
5602, -3739,  6248,  5988
5611, -3724,  6446,  5919
5622, -3680,  6746,  5883
5631, -3672,  7158,  5877
5642, -3695,  7580,  5884
5652, -3700,  7957,  5924
5661, -3702,  8270,  5949
5672, -3736,  8486,  5974
5681, -3824,  8612,  6048
5692, -3956,  8804,  6185
5701, -4132,  9025,  6269
5712, -4272,  9233,  6289
5722, -4280,  9268,  6245
5731, -4151,  9012,  6151
5742, -3982,  8631,  6007
5751, -3814,  8323,  5812
5762, -3648,  8046,  5569
5772, -3456,  7635,  5391
5782, -3337,  7129,  5349
5792, -3343,  6328,  5427
5801, -3408,  5413,  5626
5812, -3479,  4491,  5891
5822, -3560,  3764,  6168
5831, -3653,  3317,  6402
5842, -3683,  3171,  6522
5851, -3619,  3201,  6452
5862, -3412,  3136,  6159
5871, -3097,  2958,  5772
5882, -2828,  2657,  5333
5892, -2577,  2379,  5001
5901, -2468,  2165,  4893
5912, -2649,  2040,  5114
5921, -3092,  1968,  5609
5932, -3721,  2110,  6219
5941, -4410,  2421,  6765
5951, -4921,  2817,  7235
5962, -5206,  3178,  7550
5971, -5283,  3500,  7638
5982, -5185,  3791,  7531
5991, -4975,  3928,  7307
6001, -4706,  3861,  7066
6012, -4451,  3675,  6896
6021, -4330,  3565,  6806
6032, -4284,  3561,  6763
6041, -4229,  3641,  6723
6051, -4171,  3823,  6653
6062, -4068,  4110,  6530
6071, -3904,  4391,  6359
6082, -3704,  4591,  6179
6091, -3550,  4679,  6020
6101, -3454,  4662,  5907
6112, -3420,  4578,  5862
6121, -3429,  4429,  5878
6132, -3470,  4314,  5960
6141, -3539,  4290,  6013
6151, -3540,  4357,  6036
6162, -3476,  4496,  6034
6171, -3443,  4678,  6044
6182, -3421,  4843,  6072
6191, -3416,  4978,  6119
6201, -3428,  5097,  6157
6210, -3420,  5179,  6207
6221, -3408,  5216,  6262
6231, -3442,  5227,  6327
6242, -3488,  5220,  6374
6251, -3488,  5192,  6416
6260, -3496,  5112,  6418
6271, -3493,  5023,  6379
6281, -3442,  4942,  6293
6291, -3327,  4832,  6184
6301, -3235,  4737,  6092
6312, -3218,  4729,  6063
6321, -3240,  4797,  6088
6331, -3282,  4919,  6157
6342, -3352,  5104,  6237
6351, -3411,  5290,  6292
6360, -3433,  5422,  6308
6371, -3444,  5481,  6300
6381, -3453,  5454,  6269
6392, -3446,  5337,  6242
6401, -3435,  5208,  6231
6410, -3463,  5117,  6243
6421, -3508,  5098,  6266
6430, -3545,  5113,  6312
6441, -3610,  5163,  6364
6451, -3656,  5219,  6386
6462, -3644,  5262,  6363
6471, -3583,  5310,  6307
6480, -3519,  5370,  6264
6491, -3517,  5425,  6242
6500, -3550,  5467,  6248
6511, -3567,  5460,  6265
6521, -3582,  5425,  6276
6532, -3600,  5398,  6276
6541, -3596,  5372,  6263
6550, -3579,  5348,  6248
6561, -3556,  5335,  6221
6571, -3513,  5354,  6197
6581, -3478,  5416,  6180
6591, -3449,  5494,  6166
6600, -3407,  5551,  6155
6611, -3359,  5588,  6152
6620, -3284,  5612,  6174
6631, -3194,  5645,  6201
6641, -3077,  5693,  6262
6652, -2925,  5750,  6372
6661, -2779,  5813,  6511
6670, -2602,  5836,  6644
6681, -2392,  5763,  6758
6690, -2214,  5599,  6900
6701, -2072,  5394,  7099
6711, -1977,  5231,  7296
6720, -1849,  5134,  7416
6731, -1600,  5033,  7394
6740, -1266,  4881,  7206
6751,  -861,  4700,  6891
6760,  -437,  4549,  6479
6771,   -37,  4473,  6028
6781,   294,  4483,  5607
6790,   429,  4498,  5322
6801,   298,  4515,  5327
6810,  -161,  4565,  5599
6821,  -813,  4598,  5961
6830, -1364,  4615,  6256
6841, -1739,  4603,  6431
6851, -2008,  4670,  6442
6860, -2277,  4892,  6262
6871, -2480,  5161,  5904
6880, -2576,  5450,  5566
6890, -2870,  5518,  5298
6901, -3300,  5338,  5235
6910, -3831,  5011,  5369
6920, -4465,  4589,  5682
6931, -5177,  4271,  6126
6940, -5950,  4070,  6521
6951, -6543,  4048,  6751
6961, -6786,  4300,  6736
6970, -6749,  4695,  6387
6981, -6489,  5044,  5807
6990, -6068,  5257,  5155
7001, -5628,  5395,  4591
7010, -5414,  5467,  4305
7020, -5592,  5443,  4429
7031, -6047,  5212,  4862
7040, -6592,  4893,  5414
7051, -7058,  4641,  5865
7060, -7262,  4546,  6125
7071, -7205,  4576,  6158
7080, -6989,  4664,  6020
7090, -6707,  4803,  5826
7100, -6426,  4945,  5669
7110, -6192,  5067,  5609
7121, -6028,  5184,  5613
7130, -5833,  5296,  5659
7141, -5651,  5385,  5727
7150, -5490,  5429,  5831
7159, -5332,  5414,  5949
7170, -5154,  5383,  6049
7180, -4972,  5340,  6131
7191, -4786,  5294,  6208
7200, -4627,  5207,  6295
7211, -4510,  5089,  6430
7220, -4471,  4963,  6612
7229, -4488,  4840,  6807
7240, -4512,  4747,  6969
7250, -4499,  4679,  7079
7261, -4451,  4647,  7099
7270, -4344,  4615,  7046
7279, -4190,  4588,  6930
7290, -4031,  4589,  6798
7299, -3896,  4601,  6672
7310, -3797,  4646,  6573
7320, -3751,  4764,  6507
7331, -3754,  4913,  6475
7340, -3794,  5025,  6458
7349, -3846,  5068,  6440
7360, -3892,  5033,  6406
7370, -3945,  4967,  6396
7380, -3991,  4889,  6356
7390, -3977,  4804,  6274
7399, -3905,  4771,  6137
7410, -3814,  4781,  5989
7419, -3756,  4797,  5896
7430, -3766,  4809,  5888
7440, -3826,  4850,  5925
7450, -3906,  4908,  5968
7460, -3967,  4962,  6021
7469, -4033,  4994,  6071
7480, -4066,  5000,  6092
7489, -4053,  5006,  6088
7500, -4030,  5029,  6051
7509, -4007,  5054,  6025
7520, -4014,  5010,  6016
7530, -4026,  4908,  6009
7539, -4016,  4818,  6040
7550, -4059,  4783,  6098
7559, -4130,  4812,  6158
7570, -4195,  4926,  6208
7580, -4247,  5038,  6231
7589, -4258,  5055,  6247
7600, -4258,  5024,  6250
7609, -4243,  5023,  6229
7621, -4212,  5065,  6193
7630, -4181,  5123,  6158
7639, -4177,  5188,  6135
7650, -4197,  5233,  6138
7660, -4234,  5273,  6162
7669, -4278,  5337,  6163
7680, -4286,  5399,  6168
7689, -4298,  5392,  6159
7700, -4324,  5335,  6151
7709, -4323,  5260,  6131
7720, -4285,  5176,  6089
7730, -4228,  5101,  6015
7739, -4152,  5022,  5937
7750, -4070,  4926,  5891
7759, -4058,  4830,  5908
7770, -4094,  4752,  5969
7779, -4145,  4699,  6049
7789, -4181,  4689,  6122
7800, -4198,  4709,  6183
7809, -4214,  4763,  6221
7820, -4211,  4843,  6244
7829, -4209,  4914,  6287
7840, -4236,  4943,  6350
7849, -4251,  4917,  6381
7859, -4225,  4860,  6372
7870, -4172,  4797,  6331
7879, -4129,  4741,  6259
7890, -4082,  4706,  6201
7900, -4042,  4691,  6169
7909, -4031,  4707,  6173
7920, -4045,  4754,  6206
7930, -4095,  4828,  6256
7939, -4140,  4914,  6283
7950, -4160,  5017,  6292
7959, -4181,  5112,  6307
7969, -4206,  5158,  6298
7980, -4190,  5164,  6286
7989, -4162,  5180,  6257
8000, -4141,  5205,  6226
8009, -4131,  5181,  6210
8018, -4126,  5093,  6200
8029, -4123,  5008,  6179
8039, -4108,  4936,  6151
8050, -4078,  4912,  6126
8059, -4055,  4906,  6096
8070, -4039,  4922,  6101
8079, -4064,  4952,  6145
8088, -4134,  4996,  6220
8099, -4229,  5077,  6297
8109, -4291,  5155,  6350
8120, -4304,  5183,  6356
8129, -4274,  5179,  6367
8140, -4265,  5143,  6372
8149, -4249,  5075,  6384
8158, -4234,  5017,  6422
8169, -4257,  4985,  6484
8179, -4306,  4960,  6549
8190, -4328,  4922,  6607
8199, -4330,  4891,  6636
8210, -4319,  4900,  6644
8219, -4325,  4928,  6650
8228, -4333,  4920,  6628
8239, -4305,  4903,  6589
8249, -4252,  4884,  6516
8259, -4177,  4840,  6445
8269, -4108,  4784,  6385
8280, -4060,  4796,  6368
8289, -4053,  4836,  6401
8298, -4101,  4834,  6472
8309, -4189,  4764,  6545
8319, -4263,  4670,  6594
8329, -4315,  4633,  6593
8339, -4341,  4639,  6545
8350, -4354,  4701,  6463
8359, -4377,  4832,  6362
8368, -4395,  5001,  6265
8379, -4414,  5150,  6211
