time,accx,accy,accz
4782, -4654,    41,  1423
4793, -4230,   329,   858
4802, -3718,   590,   231
4813, -3061,   877,  -224
4823, -2459,  1192,  -466
4832, -1912,  1521,  -453
4843, -1343,  1867,  -269
4852,  -874,  2124,  -146
4863,  -350,  2200,     2
4873,   159,  2077,   283
4882,   395,  1809,   632
4893,   514,  1653,  1014
4902,   590,  1674,  1228
4913,   750,  1720,  1159
4923,  1032,  1749,   934
4932,  1247,  1627,   581
4943,  1435,  1327,   271
4952,  1596,  1099,   196
4963,  1633,  1084,   297
4973,  1677,  1093,   485
4982,  1802,  1018,   618
4993,  2037,   796,   602
5002,  2358,   455,   391
5012,  2749,   159,    30
5023,  3210,  -131,  -319
5032,  3574,  -495,  -445
5043,  3536,  -847,  -214
5052,  3043, -1112,   357
5062,  2327, -1253,  1042
5073,  1597, -1296,  1622
5082,  1042, -1265,  1964
5093,   752, -1124,  2020
5102,   661,  -901,  1841
5113,   624,  -655,  1512
5122,   636,  -361,  1111
5132,   745,   -13,   735
5143,   850,   346,   467
5152,   846,   680,   385
5163,   652,   944,   489
5172,   309,  1084,   721
5182,   -50,  1092,   996
5193,  -352,  1069,  1211
5202,  -555,  1100,  1292
5213,  -620,  1136,  1232
5222,  -586,  1069,  1083
5232,  -517,   862,   891
5243,  -412,   644,   768
5252,  -369,   450,   709
5263,  -398,   296,   733
5272,  -468,   193,   837
5282,  -604,   125,   951
5293,  -755,   129,  1016
5302,  -823,   167,   990
5312,  -793,   220,   886
5323,  -728,   297,   755
5332,  -667,   349,   645
5341,  -619,   358,   591
5352,  -584,   400,   579
5362,  -532,   482,   577
5373,  -487,   552,   600
5382,  -492,   581,   655
5391,  -543,   572,   695
5402,  -552,   567,   693
5412,  -503,   567,   632
5423,  -417,   556,   557
5432,  -368,   556,   531
5441,  -382,   571,   561
5452,  -406,   622,   637
5462,  -463,   689,   719
5472,  -513,   739,   747
5482,  -502,   707,   736
5493,  -470,   623,   701
5502,  -447,   561,   684
5511,  -468,   567,   679
5522,  -490,   592,   669
5532,  -493,   639,   677
5543,  -533,   710,   668
5552,  -563,   806,   624
5561,  -549,   838,   546
5572,  -537,   872,   482
5581,  -586,   964,   428
5592,  -617,  1089,   375
5602,  -603,  1222,   329
5611,  -597,  1405,   267
5622,  -562,  1689,   242
5631,  -565,  2080,   248
5642,  -601,  2475,   272
5652,  -625,  2821,   329
5661,  -649,  3099,   375
5672,  -708,  3278,   421
5681,  -824,  3361,   521
5692,  -989,  3502,   688
5701, -1208,  3667,   803
5712, -1405,  3812,   856
5722, -1485,  3776,   845
5731, -1439,  3452,   779
5742, -1356,  3007,   659
5751, -1270,  2647,   479
5762, -1181,  2331,   242
5772, -1058,  1898,    56
5782,  -992,  1393,    -9
5792, -1034,   615,    28
5801, -1117,  -256,   173
5812, -1197, -1120,   375
5822, -1282, -1780,   584
5831, -1379, -2159,   748
5842, -1420, -2235,   799
5851, -1377, -2136,   656
5862, -1199, -2132,   289
5871,  -915, -2244,  -168
5882,  -673, -2490,  -664
5892,  -438, -2736, -1029
5901,  -333, -2950, -1139
5912,  -505, -3104,  -890
5921,  -929, -3221,  -349
5932, -1532, -3130,   314
5941, -2196, -2864,   910
5951, -2688, -2496,  1413
5962, -2960, -2139,  1736
5971, -3031, -1798,  1810
5982, -2930, -1471,  1672
5991, -2723, -1293,  1408
6001, -2459, -1321,  1131
6012, -2209, -1479,   936
6021, -2092, -1577,   835
6032, -2050, -1587,   795
6041, -2003, -1524,   766
6051, -1955, -1364,   711
6062, -1865, -1098,   602
6071, -1714,  -832,   440
6082, -1525,  -639,   262
6091, -1377,  -547,    97
6101, -1280,  -552,   -25
6112, -1240,  -618,   -83
6121, -1238,  -749,   -80
6132, -1267,  -848,    -7
6141, -1324,  -861,    40
6151, -1316,  -793,    66
6162, -1248,  -663,    73
6171, -1213,  -499,   100
6182, -1189,  -356,   147
6191, -1182,  -242,   214
6201, -1191,  -140,   268
6210, -1179,   -67,   327
6221, -1161,   -31,   385
6231, -1185,   -11,   446
6242, -1220,    -1,   482
6251, -1212,   -11,   511
6260, -1214,   -73,   500
6271, -1207,  -147,   449
6281, -1155,  -218,   356
6291, -1040,  -327,   245
6301,  -946,  -426,   158
6312,  -922,  -443,   140
6321,  -934,  -389,   181
6331,  -965,  -281,   265
6342, -1024,  -108,   360
6351, -1073,    70,   427
6360, -1085,   200,   447
6371, -1087,   265,   439
6381, -1086,   247,   403
6392, -1069,   143,   369
6401, -1046,    24,   354
6410, -1062,   -60,   365
6421, -1095,   -77,   391
6430, -1120,   -63,   443
6441, -1176,   -17,   503
6451, -1214,    33,   533
6462, -1198,    70,   516
6471, -1134,   111,   468
6480, -1068,   163,   432
6491, -1060,   212,   419
6500, -1086,   250,   431
6511, -1095,   243,   451
6521, -1102,   213,   461
6532, -1112,   193,   459
6541, -1099,   174,   444
6550, -1076,   154,   428
6561, -1048,   141,   402
6571, -1002,   156,   383
6581,  -963,   213,   372
6591,  -931,   285,   364
6600,  -886,   338,   359
6611,  -837,   371,   360
6620,  -760,   393,   385
6631,  -668,   427,   412
6641,  -549,   479,   470
6652,  -397,   543,   574
6661,  -253,   614,   704
6670,   -82,   647,   827
6681,   118,   583,   928
6690,   287,   430,  1056
6701,   421,   236,  1242
6711,   507,    84,  1426
6720,   621,    -3,  1532
6731,   850,   -96,  1495
6740,  1159,  -240,  1290
6751,  1541,  -410,   956
6760,  1948,  -546,   524
6771,  2342,  -602,    53
6781,  2680,  -567,  -385
6790,  2841,  -522,  -685
6801,  2755,  -467,  -693
6810,  2355,  -373,  -433
6821,  1763,  -293,   -83
6830,  1263,  -237,   200
6841,   924,  -224,   371
6851,   684,  -149,   389
6860,   439,    64,   227
6871,   262,   315,  -104
6880,   201,   591,  -416
6890,   -38,   659,  -659
6901,  -396,   497,  -702
6910,  -839,   201,  -549
6920, -1374,  -181,  -217
6931, -1987,  -461,   248
6940, -2671,  -629,   665
6951, -3191,  -624,   915
6961, -3386,  -352,   913
6970, -3317,    59,   568
6981, -3035,   422,    -8
6990, -2594,   643,  -654
7001, -2130,   777, -1201
7010, -1878,   838, -1455
7020, -2002,   802, -1288
7031, -2396,   566,  -812
7040, -2883,   252,  -227
7051, -3301,    11,   246
7060, -3473,   -71,   517
7071, -3396,   -28,   553
7080, -3168,    69,   415
7090, -2876,   213,   224
7100, -2586,   354,    74
7110, -2343,   473,    23
7121, -2171,   585,    37
7130, -1971,   691,    90
7141, -1786,   777,   164
7150, -1624,   821,   268
7159, -1467,   812,   381
7170, -1292,   789,   471
7180, -1117,   755,   541
7191,  -941,   716,   606
7200,  -792,   633,   682
7211,  -685,   517,   810
7220,  -654,   394,   984
7229,  -679,   274,  1171
7240,  -714,   185,  1322
7250,  -715,   120,  1420
7261,  -684,    90,  1427
7270,  -595,    59,  1361
7279,  -460,    32,  1233
7290,  -317,    31,  1092
7299,  -194,    40,   961
7310,  -104,    81,   858
7320,   -64,   195,   792
7331,   -71,   340,   761
7340,  -116,   446,   745
7349,  -173,   484,   728
7360,  -225,   445,   694
7370,  -284,   373,   684
7380,  -339,   291,   643
7390,  -332,   201,   560
7399,  -268,   162,   423
7410,  -183,   162,   279
7419,  -127,   170,   192
7430,  -134,   174,   191
7440,  -187,   212,   235
7450,  -261,   269,   284
7460,  -315,   324,   339
7469,  -377,   359,   390
7480,  -407,   370,   409
7489,  -392,   383,   401
7500,  -366,   412,   360
7509,  -342,   443,   331
7520,  -346,   401,   321
7530,  -356,   298,   317
7539,  -344,   203,   352
7550,  -384,   163,   418
7559,  -449,   187,   485
7570,  -510,   297,   540
7580,  -561,   406,   567
7589,  -571,   421,   585
7600,  -570,   390,   588
7609,  -553,   391,   568
7621,  -520,   433,   532
7630,  -488,   491,   498
7639,  -482,   553,   479
7650,  -500,   593,   488
7660,  -537,   627,   517
7669,  -583,   682,   524
7680,  -593,   736,   533
7689,  -609,   723,   527
7700,  -638,   665,   518
7709,  -639,   592,   495
7720,  -604,   513,   447
7730,  -549,   443,   367
7739,  -474,   369,   284
7750,  -392,   278,   235
7759,  -376,   185,   252
7770,  -407,   110,   314
7779,  -454,    56,   397
7789,  -488,    42,   475
7800,  -505,    57,   540
7809,  -519,   107,   582
7820,  -516,   184,   607
7829,  -514,   254,   651
7840,  -541,   287,   712
7849,  -555,   267,   738
7859,  -531,   217,   721
7870,  -479,   162,   674
7879,  -436,   112,   597
7890,  -387,    80,   537
7900,  -344,    64,   508
7909,  -329,    77,   517
7920,  -340,   119,   557
7930,  -385,   188,   614
7939,  -426,   272,   645
7950,  -443,   375,   656
7959,  -462,   471,   671
7969,  -486,   521,   660
7980,  -470,   531,   645
7989,  -443,   550,   613
8000,  -424,   575,   580
8009,  -415,   552,   562
8018,  -411,   467,   550
8029,  -408,   385,   527
8039,  -390,   316,   498
8050,  -358,   293,   474
8059,  -332,   285,   446
8070,  -312,   298,   458
8079,  -333,   322,   508
8088,  -398,   361,   591
8099,  -490,   437,   675
8109,  -549,   511,   732
8120,  -562,   538,   739
8129,  -532,   536,   748
8140,  -522,   504,   751
8149,  -504,   442,   759
8158,  -486,   390,   794
8169,  -507,   363,   853
8179,  -554,   342,   917
8190,  -575,   305,   973
8199,  -579,   274,  1002
8210,  -569,   282,  1010
8219,  -577,   308,  1017
8228,  -585,   299,   995
8239,  -559,   280,   956
8249,  -509,   259,   883
8259,  -437,   213,   812
8269,  -368,   154,   754
8280,  -318,   165,   739
8289,  -308,   204,   776
8298,  -350,   204,   849
8309,  -430,   141,   922
8319,  -494,    56,   970
8329,  -537,    25,   969
8339,  -554,    35,   924
8350,  -558,    97,   848
8359,  -572,   228,   754
8368,  -582,   395,   663
8379,  -594,   545,   614
8388,  -650,   661,   596
8399,  -714,   736,   517
8409,  -666,   765,   342
8418,  -519,   729,    81
8429,  -349,   677,  -182
8439,  -210,   678,  -397
8450,  -109,   721,  -542
8459,   -49,   770,  -601
8468,   -77,   822,  -553
8479,  -161,   856,  -465
8488,  -208,   857,  -408
8499,  -189,   837,  -397
8509,  -138,   787,  -405
8518,  -110,   719,  -390
8529,  -113,   683,  -325
8538,  -158,   662,  -235
8549,  -208,   659,  -168
8558,  -209,   647,  -154
8569,  -162,   592,  -177
8579,  -101,   468,  -157
8588,  -122,   275,   -33
8599,  -232,    17,   166
8608,  -370,  -369,   425
8619,  -501, -1075,   717
8628,  -703, -2150,  1061
8638,  -950, -3455,  1522
8649, -1223, -4955,  2075
8658, -1525, -6466,  2592
8669, -1869, -7681,  2900
8678, -2071, -8581,  2777
8689, -1925, -9007,  2280
8699, -1591, -8639,  1489
8708, -1105, -7446,   682
8719,  -568, -5687,   122
8728,  -131, -3798,   -12
8739,   -90, -2191,   187
8748,  -218, -1131,   510
8758,  -332,  -564,   742
8769,  -452,  -218,   750
8778,  -452,   144,   483
8789,  -282,   769,    73
8798,   -32,  1609,  -404
8809,   271,  2389,  -876
8818,   643,  2974, -1263
8828,   932,  3447, -1498
8839,  1096,  4024, -1582
8848,  1116,  4841, -1452
8859,  1034,  5855, -1218
8868,   791,  6896,  -881
8879,   517,  7620,  -492
8888,   329,  7841,  -146
8898,   104,  7742,   258
8909,  -308,  7430,   634
8918,  -660,  6777,  1045
8929,  -938,  6013,  1543
8938, -1430,  5504,  2258
8949, -3730,  5342,  4668
8958, -4091,  5454,  4749
8968, -2084,  5394,  3353
8979, -1046,  4715,  2682
8988, -1364,  3851,  2625
8998, -1675,  3144,  2799
9009, -1629,  2614,  2683
9018, -1250,  2262,  2229
9027,  -693,  2005,  1663
9038,  -216,  1734,  1095
9048,   176,  1476,   643
9059,   434,  1250,   373
9068,   593,  1062,   251
9078,   647,   898,   244
9089,   629,   684,   303
9098,   572,   481,   394
9109,   488,   351,   477
9118,   427,   260,   527
9127,   403,   268,   533
9138,   379,   390,   523
9148,   374,   552,   489
9159,   418,   639,   444
9168,   455,   675,   435
9177,   441,   763,   448
9188,   373,   842,   500
9197,   248,   830,   588
9208,   109,   835,   661
9218,     6,   843,   722
9229,   -27,   799,   735
9238,   -27,   768,   708
9247,   -23,   764,   676
9258,   -45,   779,   659
9267,   -96,   822,   649
9278,  -138,   864,   639
9288,  -146,   860,   643
9297,  -174,   904,   658
9308,  -215,   978,   620
9317,  -181,   986,   550
9328,   -98,   957,   519
9337,   -48,   942,   487
9348,   -10,   930,   443
9358,    64,   889,   389
9367,   138,   872,   330
9378,   199,   909,   261
9387,   262,   931,   188
9398,   295,   866,   173
9408,   232,   762,   241
9418,    85,   681,   364
9428,   -90,   589,   470
9437,  -180,   455,   460
9448,  -131,   336,   370
9457,     3,   305,   277
9467,    88,   374,   218
9478,   137,   496,   225
9487,   161,   658,   268
9498,   149,   820,   397
9508,    25,   981,   646
9517,  -192,  1132,   907
9528,  -380,  1203,  1099
9537,  -460,  1194,  1175
9548,  -460,  1148,  1139
9557,  -430,  1053,  1059
9568,  -419,   957,  1006
9578,  -516,   867,   980
9587,  -673,   763,  1002
9598,  -869,   656,  1087
9607, -1251,   479,  1160
