time,gyrx,gyry,gyrz
4951,   -88,   -21,   -74
4962,   -94,   -35,   -82
4971,   -93,   -39,   -83
4982,   -92,   -38,   -78
4991,   -91,   -33,   -67
5002,   -88,   -24,   -62
5012,   -83,    -9,   -57
5021,   -75,    11,   -60
5032,   -62,    29,   -74
5041,   -42,    37,   -95
5052,   -17,    34,  -117
5061,    15,    19,  -127
5071,    48,    -1,  -128
5082,    66,   -20,  -128
5091,    64,   -35,  -123
5102,    47,   -41,  -117
5111,    24,   -42,  -118
5122,     4,   -38,  -125
5131,   -16,   -30,  -138
5141,   -36,   -27,  -153
5152,   -47,   -34,  -161
5161,   -53,   -44,  -152
5172,   -55,   -47,  -136
5181,   -54,   -38,  -120
5192,   -50,     6,  -104
5201,   -48,    38,  -106
5211,   -40,    51,  -108
5222,   -29,    54,  -109
5231,   -17,    38,  -105
5242,   -11,    15,  -102
5251,    -9,   -12,   -93
5262,    -6,   -39,   -87
5271,   -14,   -69,   -90
5281,   -24,   -97,   -92
5292,   -25,  -123,   -90
5301,   -26,  -117,   -81
5312,   -25,   -81,   -67
5321,   -23,   -43,   -54
5330,   -17,   -21,   -39
5341,   -11,   -12,   -23
5351,    -8,   -17,    -8
5362,    -9,   -21,     8
5371,   -19,    -7,    15
5382,   -34,    22,     4
5391,   -46,    52,   -18
5400,   -57,    70,   -29
5411,   -65,    71,   -26
5421,   -63,    60,   -22
5432,   -51,    43,   -20
5441,   -34,    26,   -15
5452,   -15,     8,    -3
5461,     0,    -9,     8
5470,     8,   -23,    10
5481,     8,   -35,     7
5491,     6,   -40,     6
5502,     5,   -38,     4
5511,     5,   -32,    -3
5520,     5,   -23,   -12
5531,     3,   -15,   -19
5541,    -1,    -9,   -21
5552,    -7,    -9,   -14
5561,   -11,   -12,    -9
5570,   -10,   -10,    -9
5581,    -9,    -3,   -13
5591,    -9,     1,   -17
5602,    -7,    -1,   -19
5611,    -6,    -7,   -17
5620,    -4,   -13,   -13
5631,    -2,   -19,    -9
5640,    -2,   -24,    -7
5651,    -1,   -26,    -6
5661,    -2,   -26,    -2
5672,    -1,   -27,     3
5681,     1,   -25,     5
5690,     3,   -21,     7
5701,    -3,   -37,    28
5710,   -22,   -39,    24
5721,   -31,   -27,    13
5731,   -25,    -6,     7
5742,   -19,     3,    10
5751,   -19,     0,    11
5760,   -20,    -5,     7
5771,   -23,    -3,     0
5780,   -28,     1,     1
5791,   -30,     4,    -2
5801,   -26,     1,    -4
5810,   -19,    -5,     4
5821,   -15,   -12,     8
5830,   -11,   -13,     8
5841,    -8,    -9,     7
5850,    -9,    -3,     0
5861,   -13,     7,   -11
5871,   -20,    18,   -24
5880,   -26,    28,   -37
5891,   -23,    35,   -50
5900,   -16,    40,   -58
5911,   -11,    41,   -59
5921,    -9,    37,   -55
5930,   -12,    28,   -53
5941,   -15,    21,   -50
5950,   -19,    16,   -45
5961,   -19,    15,   -43
5970,   -19,    14,   -41
5981,   -21,    15,   -39
5990,   -25,    16,   -32
6000,   -26,    13,   -22
6011,   -23,     3,   -11
6020,   -19,   -10,    -2
6031,   -14,   -21,     3
6040,   -10,   -28,     5
6051,    -6,   -37,     7
6061,    -1,   -43,     8
6070,     2,   -40,     2
6081,     0,   -32,    -8
6090,    -7,   -25,   -14
6101,   -17,   -20,   -16
6110,   -23,   -13,   -17
6120,   -22,    -2,   -14
6131,   -17,     8,    -9
6140,   -12,    15,    -4
6151,    -9,    18,     0
6160,    -6,    19,     3
